name,longitude,latitude,age,normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance,cu_mt
['El  Teniente'],,-34.5,5.5,9.758438511122794,43.80632705688477,31.24490180641312,5.7878321725030215,128.5322
"['La Huifa', 'Escalones']",,-34.5,6.5,10.703939997441696,49.97160263061524,28.88721962011103,4.804371161744244,4.924
['Rosario de Rengo'],,-34.5,7.5,10.4739879872919,50.92038192749023,30.116202756264915,4.929696516281774,3.0
['Los Sulfatos'],,-33.5,4.5,10.162015662376024,46.31908340454102,26.36019528626675,4.467682579809086,17.52
"['Los  Bronces/Rio  Blanco', 'Los Bronces Sur']",,-33.5,5.5,11.00544830020094,47.91655921936035,20.798372050215647,4.70373879357843,211.59
['Lagunillas'],,-32.5,9.5,11.769142593854893,58.23592758178711,19.40167477710476,1.886930850521204,4.05
"['Diente Verde', 'Vizcachitas']",,-32.5,11.5,12.000743951760407,60.64138298034668,20.24206862101412,1.3874688645737832,5.1146400000000005
['Paramillos  Sur'],,-32.5,13.5,16.02867996205658,61.078331756591794,9.086713911405296,116.21295464813808,0.9911
['Paramillos  Norte'],,-32.5,15.5,16.838593592235334,59.62204818725586,4.71680803662259,140.7546674089638,1.0788
['El Pachon'],,-31.5,8.5,11.444342382409516,62.2338264465332,20.05878565921997,0.7288684996092029,8.690000000000001
['Los  Pelambres'],,-31.5,9.5,11.582890615118686,62.73939208984375,21.46051602713697,0.6080792969871176,46.01586
['Altar'],,-31.5,11.5,12.032348632808104,62.64064483642578,21.66525371577628,0.9466698214475632,3.4825
['Los  Azules'],,-30.5,7.5,11.44818867317158,62.73867492675781,20.72938269121669,1.1907750398147694,4.6176
['Arroyo  Chita'],,-30.5,11.5,12.968077561616091,63.59380722045898,25.501259212712192,24.450496343027773,1.9812000000000003
['Famatina'],,-29.5,3.5,9.652837005379586,53.149847412109374,24.9049200294494,1.478404484817191,0.0
['Nevados  de  Famatina'],,-29.5,4.5,10.56130284094476,57.24561386108398,23.07013716618321,1.7719741383942045,1.2
"['El Indio', 'Sancarrón']",,-29.5,6.5,11.507519441568778,62.144668960571295,21.38954295186828,1.882423243121527,0.0
"['El Tambo', 'Lama', 'Pascua']",,-29.5,8.5,11.380527944377668,66.2047960917155,22.90098206548599,4.286383140208348,0.0
['Veladero'],,-29.5,11.5,13.056593666225112,65.57049407958985,24.860105357850266,22.06473033314122,0.0
['Los Helados'],,-28.5,13.5,14.31842502531408,66.09638977050781,22.51885540342031,42.25287842512307,6.06
['Filo del Sol'],,-28.5,17.5,15.406045996963512,68.28381881713867,10.713527679092078,53.31869807387477,1.01049
['Caserones'],,-28.5,18.5,14.860933687928089,71.71234741210938,8.501186946549717,32.294990241466955,4.455
['Josemaria'],,-28.5,24.5,8.560323330898328,73.54995727539062,22.717199517978926,5.546677939572244,2.9232
"['Capillitas', 'Agua  Rica', 'Filo  Colorado']",,-27.5,5.5,11.521255315545572,63.93353576660157,17.487642680945743,6.309414846642734,6.574579999999999
['Farallón Negro'],,-27.5,6.5,11.985696470102686,68.76280288696289,15.431714404904136,5.055399389081518,0.0
"['Bajo  de  la  Alumbrera', 'Bajo  de  San  Lucas']",,-27.5,7.5,11.97874273465898,67.64768905639649,15.52416980329516,5.183720557504925,4.6218
"['Bajo  El  Durazno', 'Cerro Atajo']",,-27.5,8.5,11.876253797213282,70.61363067626954,16.82247073298045,2.362234744686244,0.485
['El Volcán'],,-27.5,10.5,12.367724461758288,69.42377166748047,19.50958771608168,1.9023380892269928,0.0
['Lobo'],,-27.5,12.5,14.6580763246863,67.76896362304687,18.612945341473186,30.55137617922,0.7424
"['Cerro  Casale', 'Maricunga']",,-27.5,13.5,15.388344155169923,67.17851333618164,16.745894538425855,56.82631805132301,4.4975
['Cerro Maricunga'],,-27.5,15.5,16.10958703380491,73.59416198730469,11.430981251715306,60.885984181583794,0.0
"['Pancho', 'Verde', 'La Pepa', 'Caspiche-Santa Cecilia']",,-27.5,23.5,9.884556217740249,73.38745603561401,7.019484069487425,5.810733670985175,3.953802
['Betito'],,-26.5,13.5,15.44206510004677,72.20639495849609,15.144741888506932,39.27744550044325,0.0117234
['La Coipa'],,-26.5,18.5,15.446554808053596,73.59519958496094,8.730054867100398,40.18819447302784,0.0
['Diablillos'],,-25.5,6.5,12.016842049404548,69.7089630126953,13.966058309848554,3.3330095891161897,0.0
['Inca  Viejo'],,-25.5,15.5,15.682243873860362,76.87772674560547,12.757072596169245,31.774217131922818,0.225
['Pancho  Arias'],,-24.5,15.5,15.707573070940716,78.70267333984376,10.11871872637406,23.76240081994464,0.45
['Choquelimpie'],,-18.5,6.5,11.885817073264333,77.30032043457031,17.630537448296526,9.25097679136799,0.0
['Dos  Hermanos'],,-18.5,13.5,15.113421752714544,76.4933837890625,14.198745194574252,9.890021380044384,0.05
['Tucari'],,-16.5,4.5,10.26859149637643,64.36692352294922,24.768645305951527,13.653059194765389,0.0
['Santa Rosa'],,-16.5,7.5,11.08355973389614,68.77918167114258,27.24001427157898,12.658151375943357,0.0
