name,longitude,latitude,age,normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance,cu_mt
['Famatina'],-67.78,-29.0,3.8,7.976191565418258,45.22171401977539,31.27185096759373,0.8808421792867472,0.0
['Tucari'],-70.19,-16.57,4.6,8.592204149885262,61.52031326293945,17.823989850418002,28.429990154110914,0.0
['Nevados  de  Famatina'],-67.75,-29.0,5.0,8.030558136658456,47.74991989135742,30.595068944818458,4.119163767259827,1.2
['Los Sulfatos'],-70.25583,-33.2,5.0,8.524085902019186,40.28921508789063,25.40667530828236,0.6847620977830461,17.52
['El Aguila'],-77.8966666666667,-8.55972222222222,5.0,8.001011492694985,37.26357650756836,13.988719803546587,16.541790296354364,0.289
['Capillitas'],-66.381805,-27.340068,5.2,8.347072478886513,52.892799377441406,26.396003510404512,1.5547340038777635,0.0092799999999999
['Los  Bronces/Rio  Blanco'],-70.26666666666667,-33.13333333333333,5.22,8.524085902019186,40.28921508789063,25.40667530828236,0.6472450426801097,204.3
['El  Teniente'],-70.4625,-34.08861111111111,5.4,7.469447781545905,38.012882232666016,37.9047942660408,1.184833178092576,128.5322
['Arcata'],-72.312729,-14.973677,5.4,7.504567556092704,48.41609573364258,32.367132607704164,2.143701896036492,0.0
['Agua  Rica'],-66.28,-27.3708333333333,5.5,9.46372831153596,58.54121017456055,21.229657967101232,7.958786644534787,6.5428
['Filo  Colorado'],-66.207575,-27.367737,5.5,9.46372831153596,58.54121017456055,21.229657967101232,7.942224720087534,0.0225
['Los Bronces Sur'],-70.256043,-33.161424,5.5,9.519049810027871,42.09905242919922,21.20227094678883,5.420781068016489,7.29
['Ares'],-72.171564,-15.031963,6.0,7.890714138779842,49.037017822265625,36.59438056403472,4.025807308537472,0.0
['Diablillos'],-66.80805,-25.305,6.4,9.613971075976266,60.42398071289063,17.993088913345332,3.0911139651069908,0.0
['El Indio'],-69.97,-29.74,6.5,9.204090250730257,51.6213264465332,25.358185288492024,5.737091019984176,0.0
['La Huifa'],-70.323794,-34.048911,6.57,10.55528044835113,42.875526428222656,26.183194110506143,6.358345775990699,2.424
['Farallón Negro'],-66.678904,-27.302186,6.6,11.681175298204332,60.82488632202149,13.729165180257922,8.355633022322136,0.0
['Choquelimpie'],-69.39,-18.49,6.6,11.352404626211014,70.32803344726562,20.439009174899084,10.96371288495614,0.0
['Escalones'],-69.973054,-34.119044,6.8,10.55528044835113,42.875526428222656,26.183194110506143,6.520193695097311,2.5
['Yauricocha'],-75.7219,-12.3105,6.9,9.934339350409934,47.34552001953125,34.39917164068806,7.063460795795783,0.1792
['Sancarrón'],-69.96667,-29.58333,7.0,11.375145939647975,58.718055725097656,18.084113029144845,3.9470025258352894,0.0
['Bajo  de  la  Alumbrera'],-66.6333,-27.33062,7.089,11.681175298204332,60.82488632202149,13.729165180257922,8.498341833261769,4.2718
['Santa Rosa'],-70.02,-16.63,7.2,10.45552891321589,63.4559440612793,30.330915257972208,14.923722783669287,0.0
['Bajo  de  San  Lucas'],-66.608299,-27.4,7.4,11.681175298204332,60.82488632202149,13.729165180257922,8.846556551661969,0.35
['Toromocho'],-76.143033,-11.608839,7.4,10.42042269015727,46.59956359863281,29.834162972015584,11.711225939816426,9.92072
['Quimsacocha'],-79.233,-3.0833,7.4,11.091650906450315,29.926008224487305,15.541603840227625,68.18394281903392,0.04
['Los  Azules'],-70.2083,-30.95833,7.84,11.63438832917175,57.80574035644531,18.44167873827449,0.0003281848416352,4.6176
['Rosario de Rengo'],-70.519553,-34.547238,8.0,10.67460599165037,44.67053985595703,28.51799588028394,0.0069197289378055,3.0
['Caylloma'],-71.873506,-15.194028,8.0,9.397216911500314,53.0955924987793,40.64892221176972,16.261116511641163,0.0
['El Tambo'],-69.95,-29.8,8.25,11.547874089501486,60.53336715698242,20.07961318972545,0.0026674690941543,0.0
['Bajo  El  Durazno'],-66.5666666666667,-27.2833333333333,8.355,11.973663262995505,70.10694885253906,14.631792535524111,0.172728433802796,0.24
['Raura'],-76.75,-10.4833,8.5,11.015774922263011,47.34565734863281,25.579385599721704,14.819614310681764,0.03625
['Lama'],-70.017686,-29.322693,8.55,12.399250134471393,65.70054626464844,23.450964388863383,2.301134855750336,0.0
['Pascua'],-70.01,-29.32,8.55,12.399250134471393,65.70054626464844,23.450964388863383,2.304620893427174,0.0
['Cerro Atajo'],-66.475,-27.3083,8.75,12.928660331784815,69.49283599853516,17.335916220832786,2.352992765503994,0.245
['El Pachon'],-70.45,-31.76,8.795,12.750687323973995,59.42267990112305,18.52596225330141,0.8539130581079479,8.690000000000001
['Los  Pelambres'],-70.5,-31.70833333333333,9.5,12.976183056143352,62.59035873413086,18.94364948267136,0.7990947043519341,46.01586
['Fierro  Urcu'],-79.3333333333333,-3.75,9.6,11.81694397571919,29.63037872314453,19.865818938976872,53.65213847853933,0.107
