rank,longitude,latitude,age,name,type,country,cu_mt,au_t,ag_t
100,-67.78,-29.0,3.8,Famatina,Epithermal HS,Argentina,0.0,11.3,85.0
88,-70.19,-16.57,4.6,Tucari,Epithermal HS,Peru,0.0,59.5,0.0
39,-67.75,-29.0,5.0,Nevados  de  Famatina,Porphyry Au,Argentina,1.2,180.0,270.0
5,-70.25583,-33.2,5.0,Los Sulfatos,Porphyry Cu,Chile,17.52,0.0,0.0
55,-77.8966666666667,-8.55972222222222,5.0,El Aguila,Porphyry Cu,Peru,0.289,0.0,0.0
74,-66.381805,-27.340068,5.2,Capillitas,Epithermal HS,Argentina,0.009,1.04,43.2
1,-70.26666666666667,-33.13333333333333,5.22,Los  Bronces/Rio  Blanco,Porphyry Cu,Chile,204.3,761.075,5436.25
2,-70.4625,-34.08861111111111,5.4,El  Teniente,Porphyry Cu,Chile,128.532,725.585,10780.12
105,-72.312729,-14.973677,5.4,Arcata,Epithermal LS,Peru,0.0,6.3,0.0
11,-66.28,-27.3708333333333,5.5,Agua  Rica,Porphyry Au,Argentina,6.543,282.53,4461.0
71,-66.207575,-27.367737,5.5,Filo  Colorado,Porphyry Cu,Argentina,0.022,0.18,0.0
9,-70.256043,-33.161424,5.5,Los Bronces Sur,Porphyry Cu,Chile,7.29,0.0,0.0
90,-72.171564,-15.031963,6.0,Ares,Epithermal LS,Peru,0.0,30.0,0.0
92,-66.80805,-25.305,6.4,Diablillos,Epithermal HS/Porphyry Au,Argentina,0.0,24.88,2923.72
76,-69.97,-29.74,6.5,El Indio,Epithermal HS,Chile,0.0,950.0,0.0
29,-70.323794,-34.048911,6.57,La Huifa,Porphyry Cu,Chile,2.424,0.0,0.0
94,-66.678904,-27.302186,6.6,Farallón Negro,Epithermal LS,Argentina,0.0,19.0,0.0
91,-69.39,-18.49,6.6,Choquelimpie,Epithermal HS,Chile,0.0,26.0,0.0
28,-69.973054,-34.119044,6.8,Escalones,Porphyry Cu,Chile,2.5,37.0,602.0
60,-75.7219,-12.3105,6.9,Yauricocha,Epithermal HS/CRD/Porphyry Au,Peru,0.179,10.72,976.0
99,-69.96667,-29.58333,7.0,Sancarrón,Epithermal HS,Argentina,0.0,11.4,0.0
18,-66.6333,-27.33062,7.089,Bajo  de  la  Alumbrera,Porphyry Au,Argentina,4.272,515.84,2015.0
97,-70.02,-16.63,7.2,Santa Rosa,Epithermal HS,Peru,0.0,14.2,0.0
53,-66.608299,-27.4,7.4,Bajo  de  San  Lucas,Porphyry Cu,Argentina,0.35,0.03,0.0
6,-76.143033,-11.608839,7.4,Toromocho,Porphyry Cu,Peru,9.921,0.0,15064.0
67,-79.233,-3.0833,7.4,Quimsacocha,Epithermal HS,Ecuador,0.04,102.1,765.4
15,-70.2083,-30.95833,7.84,Los  Azules,Porphyry Cu,Argentina,4.618,57.72,1731.6
24,-70.519553,-34.547238,8.0,Rosario de Rengo,Porphyry Cu,Chile,3.0,0.0,0.0
98,-71.873506,-15.194028,8.0,Caylloma,Epithermal LS,Peru,0.0,13.5,0.0
87,-69.95,-29.8,8.25,El Tambo,Epithermal HS,Chile,0.0,66.9,0.0
57,-66.5666666666667,-27.2833333333333,8.355,Bajo  El  Durazno,Porphyry Au,Argentina,0.24,64.0,0.0
68,-76.75,-10.4833,8.5,Raura,Porphyry Cu/Skarn,Peru,0.036,0.0,42.05
83,-70.017686,-29.322693,8.55,Lama,Epithermal HS,Argentina,0.0,150.0,0.0
77,-70.01,-29.32,8.55,Pascua,Epithermal HS,Chile,0.0,622.0,0.0
56,-66.475,-27.3083,8.75,Cerro Atajo,Porphyry Cu,Argentina,0.245,0.03,0.0
7,-70.45,-31.76,8.795,El Pachon,Porphyry Cu,Argentina,8.69,0.0,3318.0
