name,longitude_trench,latitude_trench,longitude_arc,latitude_arc,age,ridge_trench_angle_Φ,ridge_convergence_angle_α,migration_rate
Nazca R.,-76.07926095515508,-15.405452346740402,-74.52864769030973,-13.924573741330052,0.0,4.560765824939011,24.93145685799431,3.670994713124249
Nazca R.,-76.49106683079248,-15.065790717485967,-74.83423745702586,-13.575620508750095,1.0,5.429479900386781,23.02693428974016,3.477948142945155
Nazca R.,-76.90236706479601,-14.732507184663511,-75.13490447383325,-13.229795414726851,2.0,6.712103235100699,22.196121134379105,3.41513263683222
Nazca R.,-77.21109001355151,-14.488133353259231,-75.34304372662697,-13.00965719854097,3.0,5.82539961291458,20.470727441866742,3.138644853811611
Nazca R.,-77.37914526292052,-14.371516946019051,-75.46604546350939,-12.906759954421904,4.0,5.584755711185608,19.96643360569051,2.978417967198237
Nazca R.,-77.56431510037876,-14.23783301598048,-75.58950249232797,-12.802010855590504,5.0,6.777699506365337,19.678879864270726,2.9132559925632577
Nazca R.,-77.77450316104968,-14.028422587022456,-75.80069922375297,-12.571484114356457,6.0,3.831654458097504,24.65961271789565,4.011604571651228
Nazca R.,-78.28419645326962,-13.376852281550835,-76.34435527499163,-11.86406610737876,7.0,0.8919493846114364,33.46015284588879,6.623946811951419
Nazca R.,-78.78622419152215,-12.72942389205434,-76.81461913800099,-11.140278759888758,8.0,3.423308214736423,32.52274362934524,6.597861481775838
Nazca R.,-79.2376030958314,-12.148266749522035,-77.20290327815496,-10.530095261632194,9.0,5.480253425489551,30.354558444439384,6.682808450861702
Nazca R.,-79.4078460677687,-11.968336555335302,-77.33179202413018,-10.372668553550245,10.0,4.620281440351832,29.17214576349409,6.528345257862266
Nazca R.,-79.5666372761211,-11.80308927873893,-77.4471980841577,-10.237881892905246,11.0,3.607024725632101,30.69700861572384,5.368628701420418
Nazca R.,-79.65346207875452,-11.73206530887274,-77.49800756967987,-10.2165300830717,12.0,2.382131567822526,25.57422242626729,5.058568667133076
Nazca R.,-79.72896796104791,-11.672911619320535,-77.54291143391872,-10.205042929788574,13.0,1.2654218136413249,20.20285448333517,4.726759915503362
Nazca R.,-79.7974002490143,-11.625679506301962,-77.57665545352323,-10.214290500254974,14.0,0.9382366306785884,17.949413376131798,4.6990405313249175
Nazca R.,-79.86385420179973,-11.581145213834043,-77.61414047326917,-10.216519423111643,15.0,0.1383017280565184,20.45527054836388,5.108495794685968
Nazca R.,-80.33927203749015,-10.734441614997356,-78.08078686824236,-9.359267364065865,16.0,2.282697614917496,24.576636516582443,6.038034021994832
Nazca R.,-80.84444003481305,-9.82150413741078,-78.5403010869314,-8.423790223384664,17.0,4.884712350470849,26.59869752058136,6.478104301165843
Nazca R.,-81.35624093267495,-8.824554990477901,-78.9689444995727,-7.336366873608129,18.0,6.6148083627558805,30.543021591019787,6.928435156062701
Nazca R.,-81.77576591880073,-7.859642848041359,-79.2518410108327,-6.136733613736348,19.0,11.067109159229544,35.85957979977302,7.774749485149194
Nazca R.,-82.07625329553862,-7.02274538726177,-79.08139277591323,-4.98459443915056,20.0,15.844997225726331,34.18740594333131,8.219655500734987
Nazca R.,-82.26639408600363,-6.147538172449476,-78.9131496368714,-3.972494744014584,21.0,12.803626728058688,34.64729291374561,7.980813916801195
Nazca R.,-82.06119430737687,-4.824913256407006,-78.57339328579866,-2.419917191399489,22.0,46.38764433632622,40.27685714167122,11.942548661452715
Nazca R.,-81.89852125198186,-3.9056477169059263,-78.48233498915796,-1.4102116199582144,23.0,46.15944250945512,41.21717100161073,12.133727653266629
Nazca R.,-81.90431910172319,-3.932142030649907,-78.52640542574018,-1.6205977401612013,24.0,44.47650049975344,22.91890534862622,7.401401684738172
Nazca R.,-81.91724815863138,-3.9912236739179474,-78.53346231221836,-1.808868218530768,25.0,42.99463115374587,20.716747926476607,6.509187870051622
Nazca R.,-81.93669319179614,-4.080081238776233,-78.54011662769702,-1.9863985163840367,26.0,41.91038619748653,20.31300728689223,6.415920587734883
Nazca R.,-81.94542312367855,-4.119974227483286,-78.54603141251569,-2.144198896297853,27.0,40.5067237940768,27.00182753194392,6.852430764613218
Iquique R.,-71.44449543365648,-19.68676474660534,-70.05112957252388,-17.819171859040996,0.0,18.28754282024636,32.801125423651094,5.0999137306193125
Iquique R.,-71.90428928981918,-19.132181628972614,-70.64102915019237,-17.428890029839092,1.0,12.43895770753339,32.66107743680181,5.023725259250297
Iquique R.,-72.41271099679827,-18.66231467567193,-71.21931094526492,-17.06869528790086,2.0,11.227076401793468,32.575963523216735,5.085650572555222
Iquique R.,-72.83443047489519,-18.318441832634363,-71.67539650463966,-16.797743783554377,3.0,9.04258732623184,32.775489625644894,5.025569183543618
Iquique R.,-73.1621639157087,-18.113020517099223,-72.00161352523503,-16.621132862577763,4.0,8.176493013167999,32.59277315223637,4.888037062295209
Iquique R.,-73.51477517430601,-17.900161479771683,-72.35326418578315,-16.417458559091703,5.0,6.736395287154679,33.43087207142006,4.944508279792892
Iquique R.,-73.9246453416323,-17.645570168830485,-72.74126412376548,-16.141348201472297,6.0,7.056859449447984,37.98015386279884,6.094241430950032
Iquique R.,-74.79440543714816,-17.002747195827734,-73.56743794696595,-15.370122709058837,7.0,6.502129560447159,47.22507295305242,8.937066725845058
