normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-0.981437796,-0.3106424224999999,-3.36582689,0.045832516575
-0.8914811844999999,-0.0137897583749999,-1.890667575,-1.6586913175
-0.859102585,-0.0365671782999999,-1.57503505,-0.27318822
-0.9821323615,0.0126765737775,-2.0152483,0.046046577
-0.7400517027499999,0.0141819344,-1.1165882324999998,-0.0142302553499999
-0.0143684003999999,-1.1793551125,-0.764616921,-1.24195127
-0.7204865785,-1.1424271375,-2.04965402,0.12968475225
-2.76071197,-0.73201639675,-1.9190213525,0.248561028
-2.4820715925,-0.7242856235,0.728903705,-2.4837958725
-1.7534759,-1.1470079375,-1.34064549,-0.0986835959999999
0.0068594048925,-1.05857495,-0.742743791,-0.1424776107499999
-0.7168228249999999,-1.0108081425,-2.1430558325,-0.5031774775
-0.6475758825,-1.02731007,-1.752235035,-0.3940226165
-0.45901781375,-0.51982983375,-1.2983968325,-0.60932382
-0.5130927624999999,0.04992344425,-3.0729868,0.159034976
-0.58322734,-1.65536094,-3.1117175125,0.17988749275
-0.41462931125,-1.0343573325,-1.64443579,0.18048729275
-1.2641860575,-0.4661283625,-1.6823376225000002,0.2820826835
-0.39894882675,-0.5196885425,-0.707793651,-0.7576291649999999
-2.04856542,-1.0963971375,-1.80240888,-0.0728301798999999
-2.5435855875,-0.631277514,-1.9094938725,-2.441665725
-2.9497509025,-2.72791447,-0.0071412454499999,-3.0698167325
-0.739234816,-2.538603965,-1.9491230875,-0.4821139449999999
-0.71860580425,-0.95589286925,-1.1167403525,-0.50669174125
-0.29480037,-0.742731589,0.2778226259999999,-1.954111515
-1.23254411,-1.2208919975,-2.008677005,-2.2807812875
-1.8381992125,-1.3542411775,-1.5882555575,0.27481759225
-0.365556754,-2.220759515,-1.8485906375,0.252934978
-1.8283248925,-0.5250827625000001,-1.6280890425,0.27447180825
-2.3120434,-1.107157695,-1.5719668624999998,-0.8146240185
-2.5730936575,-1.71247387,-1.99034483,-2.997459285
-0.76018441,-2.4191299875,0.50464644175,-2.48010285
-0.917995245,-1.9911652,-1.5408465775,0.1271507429
-2.6430200125,-2.352487105,0.6272606765,-2.4650481325
-0.21489936675,-0.8310763874999999,-1.518805015,-1.7303171875
-2.7680626525,-2.3198426325,-1.46910704,-0.0486508081249999
-2.7955745825,-2.273610915,-1.934769945,0.02068437765
-0.4835252014999999,-1.766335285,-1.5875332925,-0.91103598825
-2.7733153075,-2.3133948,0.70464182875,-2.1887506925
-0.34244105775,-0.8089078585,-1.328083495,-1.601892715
-0.525881911,-0.6273819925,-3.13021196,-2.1987913425000003
0.10729032875,-2.1067198925,-3.1045909075,-1.8087869225
-0.611258866,-1.70025494,-3.25154354,-2.1793355675
-0.3662800007499999,-1.1406697099999998,-3.12357649,-2.998125935
-0.5297590915,-0.7950712675,-3.11129303,-2.9381988525
-0.603295135,-0.8221056175,-3.1993781400000003,-2.9834814
0.0608488495,-2.3242668025,-3.1340535575,-2.8369879025
-0.889942325,-2.3242774475,-3.023015875,-2.90591009
-0.2705555349999999,-2.0406379,-3.0218245525,-0.89342938
-0.43612006375,-2.320928265,-0.975779124,0.0794643831
-0.511410746,-1.5762241125,-3.109951495,0.2100072545
-0.6942118435,-0.669527765,-3.0641422725,-2.98787297
-0.2916292165,-1.544034225,-3.001306805,-0.6681885985
-0.56783308,-1.2663560625,-3.046214335,-1.541113885
-0.808251131,-1.6969138875,-1.28833056,0.1205806965
-0.1471461465,-0.441781112,-0.6277584350000001,-0.564253891
-0.4486054232499999,-1.4477405424999998,-0.9670297325,-0.52367058525
-0.3614718039999999,-1.2163680375,-1.2995771724999998,-0.6047011334999999
-0.96755567,-0.9563219025,-2.0489083625,-0.28624079275
