normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-0.1879366499999999,0.317975895,-0.94447277,0.4866349
0.00046020887,-0.39576592,-0.071397148,-0.70028885
-0.15931581,-0.286371275,-1.0460273999999998,-0.13530588
-0.237395675,0.337540805,-0.25040318,0.420448975
-0.11311558,0.268633145,0.0642770375,-0.531058255
-0.126183965,-0.284252,-0.26108958,0.34815958
-0.223407035,0.33488346,-0.25839013,0.41156369
-0.190570655,0.31193331,-1.050135,0.23264813
-0.144935145,-0.28673117,-1.0473043999999998,-0.105180515
-0.213592015,-0.61637805,-0.35889593,-0.511417875
0.1486146199999999,-0.3850932,-0.15997,-0.21984452
0.0563755295,0.404095415,-0.180872545,-0.059524942
-0.16494826,-0.3033505549999999,-1.058307,-0.13976503
0.129854515,-0.450030875,-0.053996589,-0.11595394
-0.0226097695,-0.276489035,-0.340675845,-0.062646088
0.0201223025,0.47841638,-0.346568735,-0.0764099225
-0.02643223,-0.4248064,0.15467802,-0.215024155
-0.0746762699999999,-0.74843615,-0.236433155,-0.52350388
0.017613282,0.4867851399999999,-0.340475225,-0.103170535
0.054259295,-0.26133121,-1.09569225,-0.225905565
-0.0220798135,-0.410315865,-0.076643587,-0.13878155
-0.156119865,-0.59594775,-0.25191759,-0.67203527
-0.0027526948,-0.513129415,-1.0468554,-0.6951408699999999
-0.021606158,-0.425645,0.14709663,-0.3260170799999999
-0.058965715,-0.329322285,-0.7477109799999999,-0.81424865
-0.066245975,-0.10562603,-0.150373185,-0.95309015
-0.055486612,-0.3295059,-0.0617726075,0.397905885
0.0464348795,0.3465127799999999,-0.4553596399999999,0.366116225
-0.05297742,-0.426728175,-1.0267324,-0.6791055500000001
0.0204068335,-0.305420075,-0.09227652,0.7320040999999999
-0.0128423894999999,-0.5126245949999999,-0.0755451275,0.6526283900000001
-0.0577303265,-0.2550879299999999,-0.28806342,-0.7097823
-0.127776065,-0.48677713,-0.3619283,-0.131595705
-0.12641581,-0.4847021,-0.384670885,-0.127814285
-0.063839178,-0.41855736,-0.0936607475,-0.1010964749999999
