normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-0.38055226,-0.857898445,-1.6276467074999998,0.15174463325
-0.35409904,-1.2225910025,-1.683545245,-1.909717835
-0.33006567375,-0.8798751325,-1.6879153425,0.1663282175
-0.335701689,0.4023661775,-1.7453499325,0.5772428900000001
-0.22786056575,0.4595590065,0.61099159625,-2.019157045
-0.2649677195,-0.84240577825,0.446091668,-0.98430790625
-0.3908806865,0.4334863245,0.3644017315,0.5382079
-0.3681083105,0.3460986845,-1.7288991225,0.52068024675
-0.35340275325,-0.7345152684999999,-1.6864139425000002,-2.0789099
-0.849793264,-1.4254888375,-0.087606442375,-1.665909105
-0.63414517,-1.1836392450000002,0.36418001875,-1.380368725
-0.8562026862500001,0.45986068,-0.3147014147499999,0.7894906225
-0.3470023095,-0.8211940825,-1.700370615,-2.0541404575
-0.594638809,-1.3539927375,-0.8311900475,0.1277018505
-0.6749366450000001,-0.8719410125,-0.1020031831249999,0.1627524485
-0.4058900155,0.4014665165,-1.7430518375,0.647776915
-0.57792295875,-1.37183493,-0.83096834375,0.868579195
-0.699025764,-1.2573857375000002,0.41254120475,-1.598486445
-0.358321569,0.4205636195,-1.7200938975,0.651251849
-0.3280965145,-0.739091559,-1.6734658125,-1.58529461
-0.705037065,-1.21950417,0.5326729115000001,0.1460484265
-0.8100056375,-1.5514655,-1.01877364,0.5556698
-0.7544709515,-1.3724502875,-1.6842048925,-1.984374
-0.60768396425,-1.3255810675,-0.8174974035,0.8200321075
-0.7751559,0.420589719,-1.72186858,0.52314547425
-0.6150068249999999,0.4713741995,0.45402995,-1.27452054
-0.94314117875,-0.953516735,0.4339030955,0.0742579995
-0.3498703577499999,-0.902471985,-1.7325564025,0.6578780587499999
-0.30179945975,-0.873012434,-1.6865822125,-2.027993135
-0.69399204575,-1.2139055075,0.28573556075,0.15558803
-0.68033680675,-1.366891025,-0.5802360075,0.15574768775
-0.75153038625,-0.8128494437499999,-1.6749428225,0.16307925975
-0.71645065425,-1.2572577575,-1.653480895,0.8281166
-0.7244464385,-1.2422115175,-1.646225215,0.8378761535
-0.6822237545,-1.33174704,0.39451264875,0.1468874265
-0.9051280725,-0.9594428265,0.432627614,0.05820613575
-0.8236565575,-0.965962214,0.18372212525,0.045147975775
-0.659251224,0.44414724,-0.1038232779999999,-2.0246605425
-0.73502172,-0.8645002,-1.6701699975000002,-2.067317795
-0.7885284735,0.4254701205,-0.8235335025,-1.6057565775
-0.6741711100000001,0.4567209285,-0.1969934424999999,-2.0091935225
-0.8300267235,-0.977122926,0.45571787975,0.057063969075
-0.7131537575,0.453338393,-0.762301115,0.858026926
-0.324804721,-0.8641363592500001,-1.6697884774999998,-2.1156516875
-0.7452324375,-1.4251307775,-1.683558665,-2.0253244350000004
-0.76928816925,-0.9573226,0.44913660075,0.135070991
-0.74249009025,-1.39305885,-1.672259335,-2.1017912625
-0.78881491875,-1.3130944175,0.5521428549999999,0.1477813915
-0.7396970724999999,-0.9613234065,-0.195800166,0.05130022565
-0.6553183375,-0.8680832457500001,-0.1611892975,0.14842737425
-0.9073467785,-0.9766047425,0.244347141,0.045147975775
-0.748516331,0.4357579635,-0.804899595,-1.5350399099999998
-0.78789241475,-1.25892485,-1.6890052,-2.13292519
-0.7728481215,-1.2305618825,-1.7021998,-2.13146742
-0.6900419125,-0.8686270125,-0.037885203225,0.20006336625
-0.53281196425,0.33711855575,-1.0078592025000002,-1.7776980625
-0.805698634,0.44845150575,0.49306869975,-1.9689376575
-0.1422641342499999,-1.3219791,0.43681806,-1.885022675
-0.3673515125,-0.9778307015,-0.524757914,-1.463591835
-0.31920804825,-1.5214393775,-0.5957583224999999,-1.5803643575
-0.1502972305,0.4138266275,-0.90373929975,-1.6870091
-0.171330595,-0.82320872,-0.0388633274249999,-1.5609415925
-0.894743175,-1.2982343475,-1.66046655,-1.437209905
-0.3059345105,0.3258646752499999,-1.0078592025000002,-2.3074492875
-0.31147950025,-1.53900719,-0.5676486125,-1.58830165
-0.13875863775,-1.2721002775,-0.85597950375,-1.3697098325
-0.1910624662499999,-0.85736536125,-0.8291926875,-1.38555794
-0.17855242,-1.248344445,-0.88008748225,-1.5854700125
-0.1612605805,-1.3322852725,-0.22012089,-1.3323359525
-0.3953825145,-0.9186532,-1.6975764625,-1.7603278775
-0.30041103975,0.4258377782499999,-0.6308457675,-1.6848213275
-0.5107073050000001,-0.8721445874999999,-0.990987091,0.724123759
-0.825469115,-0.8509637425,-1.70228136,-1.6042541175
-0.862011306,0.3525761875,-0.8873648055000001,-2.270839575
-0.68595932375,-1.293028425,-1.670102525,-1.5072655225
-0.7308570910000001,-0.78323565025,0.4313688495,-1.5497556225
-0.8485320445,-0.81941016,-1.6939155925,-1.57331134
-0.2099948569999999,-1.2824018825,-0.90705358375,-1.8857362
-0.1612591825,-1.288742235,-0.8494046875,-2.1065987775000004
-0.803524655,0.39736318175,-1.6716710849999998,-1.6160018325
-0.802258515,0.4521411715,-0.8234899,-2.0373527625000003
-0.7413183175,0.4254701205,0.412591555,-1.5986672375
-0.95668375175,0.356317439,0.083588014,-1.7856003
-0.1787909104999999,-0.9018892225,-0.8328313737499999,-1.2973488775000002
-0.1439016157499999,-1.2660802599999998,-0.9053388215,-1.435216225
-0.8096125949999999,0.3443543705,0.3881979925,-1.8955010275
-0.855502374,0.4080703725,-1.6594524625,-1.627734675
-0.8472495775,0.46892164075,-1.6850979700000002,-2.0756039775
-0.8087603025,0.44070271075,-1.6842611275,-2.0255139975
-0.979725285,0.36153682325,-1.6034603625,-2.0071728600000003
-0.17855242,-1.3646331375,-0.8640533675,-1.37054161
-0.7616489857500001,0.527846161,-0.837889509,-2.095886155
-0.7389540025,0.43042360875,-1.6711844325,-2.082341055
-0.7758074509999999,0.44086024375,-1.664655675,-2.0757248575
-0.16889729325,-1.3245564425,-0.9098676025,-1.406244845
-0.3065866592499999,-1.4183168775,-1.0221981299999998,-1.809334385
-0.8374159674999999,0.5187146939999999,-0.82464131025,-2.139695355
-0.93133147825,0.38749928475,-0.522728875,-1.5332371375
-0.7127473775,-0.6871851,-0.845946975,-1.82691913
-0.54623799225,-1.2957050124999998,-1.6635826375,-1.5778637425
-0.9291114,-0.9961704265,-0.283044351,0.053735334575
-0.37437145575,-1.2573857375000002,-1.6535316325,0.15594608625
-0.30185438825,-1.289685265,-0.86912626375,-1.5985325625
-0.2973492945,-1.281972945,-0.83746291575,-1.573070905
-0.38055226,-1.2755537225,-1.6448402375,0.152648897
-0.62490511,-0.80822399375,0.39507439425,-1.6623297075
-0.3149304189999999,-1.2754685824999998,-0.8009165625,0.150394842
-0.5146528792499999,-1.42354205,-0.97012155,0.23359779125
-0.480119268,-1.4557258599999998,-1.7474278,0.57797139
-0.891955295,-1.460259875,-0.0567112248499999,-1.66113649
