normal_convergence_rate,subducting_ocean_floor_age,obliquity_of_subduction,migration_rate_x_distance
-0.1673431,0.145060625,-3.1559078,0.1425541
-0.05363463,0.285410875,-0.373304355,0.046599034
0.025155424,0.243047185,-0.2526599349999999,0.329666525
-0.020097672,0.271975755,-0.33391698,0.3450237499999999
-0.106296275,0.242784695,-0.132902145,-0.2800436
0.130236465,-0.197837945,-0.01440068375,-0.31968865
-0.112868517,-0.229002835,-0.17126301,0.0099066972499999
-1.79620575,-0.14958905,-0.14905865,0.35090427
-1.33369905,-0.2328587,0.73419262,-1.8573342
0.0466516649999999,-0.163343715,-0.0282972485,0.32590885
0.15123451,-0.1483849,0.0035628375,0.320181085
-0.07790791,-0.2174866899999999,-0.33802222,0.321627855
-0.0602249895,-0.133018575,-0.16585766,0.3520246
-0.0584072015,-0.22844037,-0.358636605,-0.041152826
-0.26326509,0.2122352,-1.68181585,0.435983965
-0.309225455,-0.39934218,-1.968957,-0.0869997255
-0.013933541,-0.098703525,-0.010557371,0.1101349829999999
0.0290072885,-0.057217546,-0.0122612175,0.30528993
-0.0229361449999999,-0.171672695,-0.15300552,0.08610802
-0.240442635,-0.669855875,-0.97072315,0.03875265
-1.44807055,-0.23989943,-0.32684997,-2.03451515
-2.19512165,-1.6047856500000002,0.156446375,-1.34634515
-0.15328279,-1.59714965,-0.41037956,-0.064577465
-0.151642815,-0.2918046549999999,-0.26570397,-0.0532624099999999
0.09132507,-0.0394959675,0.48664546,0.117838805
-0.10880416,-0.29673858,-0.40080543,-0.17254453
-0.07193133,-0.3733611999999999,0.0908475,0.2889227
0.01421536225,-0.884534925,-0.051568445,0.1453051149999999
-0.1303707049999999,-0.181026755,-0.10081599,0.0068377806
-0.616752635,-0.511532215,-0.33884044,-0.122155563
-1.83552445,-0.56067695,-0.25506302,-0.15506864
-0.12844697,-0.875844125,0.56798335,-0.1472654099999999
-0.068490565,-0.70561122,-0.085025854,-0.07439441
-1.31046455,-0.81026067,0.827260855,-0.3878772
0.065572775,-0.0851447019999999,0.0091231365,0.072030055
-1.9246833,-1.2094512,-0.06456437,0.22973889
-1.65991765,-0.877444745,-0.220738195,0.1231708325
-0.0340117875,-0.43006985,-0.048052419,0.060994728
-1.66275785,-1.02541475,0.84062892,-0.28174487
-0.02866038,-0.10310714,-0.0439398884999999,-0.77860722
-0.37427578,-0.38332641,-2.0391215000000003,-0.508307965
-0.174800165,-1.05193605,-2.0529211,-0.82775555
-0.288678305,-0.41163276,-1.93198695,-0.08409282
-0.364843755,-0.3982261299999999,-2.11426415,-0.5248571900000001
-0.38997346,-0.38863035,-2.18166615,-0.73643725
-0.412406925,-0.42558773,-2.1392495,-0.82379475
-0.207227,-1.1428979,-2.11596595,-0.6386368499999999
-0.208624295,-1.18962135,-2.067193,-0.6339473
-0.36321318,-1.22769975,-2.0146656,-0.12395737
-0.12772266,-1.32199805,-0.572070155,-0.232404705
0.4616858849999999,-0.39288699,-1.2250655,0.028544431
-0.50889242,-0.35274477,-2.17373775,-0.8213629499999999
-0.321822585,-0.37923187,-1.9558397,0.16175834
-0.394025185,-0.345011065,-1.98932045,0.20310336
-0.19071971,-0.28525895,-0.78384952,-0.274638485
0.22991206,0.022746406,0.0919744425,0.1150647579999999
-0.09996919,-0.147799035,-0.27508286,-0.295299585
-0.044046525,-0.19866482,-0.32688637,0.0730016195
0.00495774835,-0.213954535,-0.218179675,-0.3456420999999999
-1.8385308,-0.2202604249999999,-0.0469327214999999,-0.132984735
-0.54760938,0.142974425,-0.3686036299999999,-1.09785165
-1.86633045,-0.157602455,-0.0053855833,-0.0718747375
-0.0052540251,0.11838233,0.1194508525,-0.4366187099999999
-0.163072735,-0.188328115,-0.2505244749999999,-0.5120418
0.052109794,-0.117124815,-0.077973425,-0.085339073
0.060038639,-0.1384155,-0.16176238,-0.5988669
-0.415795215,0.0909605,0.581698625,-0.378661305
0.19291851,0.310727685,-0.057328501,-0.47481793
0.0216571475,-0.422575265,-0.40082514,-0.58648765
-0.10075046,0.45897873,-0.19102053,0.14711913
0.10212186,0.23152312,-0.0520722064999999,0.313599665
0.09281009,-0.22067747,0.0957265195,-0.7738458
-0.18198141,-0.25974646,-0.30615826,-1.1196418
0.051381562,-0.112835273,-0.0677302069999999,0.52484765
-0.0250643185,-0.18265739,0.4406079,0.2898572849999999
-1.8973635,-0.348411425,0.5150642,-0.1661570849999999
-0.133660525,-0.1255102,0.4931879799999999,-0.9221392
-0.164016335,0.0561450685,-0.5071463,-1.08906615
0.0039018908,-0.925961915,0.1678207199999999,0.32127082
-0.17905348,-0.3295641,-0.45086196,-2.7392695
-0.16093013,-0.368025005,-0.403814195,-2.76078855
-0.0539297274999999,0.24332482,-0.15660329,0.490014875
0.1446156,0.15823353,-0.305024535,-2.2506397
-0.15239933,0.16813153,0.535998325,-1.01375825
0.1282310099999999,-0.0835833199999999,0.72999992,-0.6802022750000001
-0.121230105,-0.133868805,-0.3620131,-0.042365102
-0.161325475,-0.35747336,-0.404859455,-2.75186455
-0.105561612,-0.1241346899999999,0.69746575,-2.13229225
-0.1981816599999999,-0.348168015,0.570606725,-1.70254285
